from,to,value,fee
3BoJjfyDg6xqhLmdeZ75U9icVBZxGtMtFX,1HscvSAeGPKRKgro5TabKDzEwrvqCYeMKT,232680,67320
1KJFw7pyrFnozJ6StAjsqbuL1avZ8RBXjt,1PtfP8FTKvbaMxa343sg9B9MqmqjnP5Kft,13151848,62694
1rByoSU3M2EktJxAcdk2JfWfW67XqAcyz,1KjtTrGiFyytxcmYCtvtNFfMSZsoeYJefd,431780,62694
1GwpC4kp2orjuKjmG7hdKmyNtMMNcUd3t9,1K9zdRTuXcYN9r8evU4NEHN8hziQuEDXwq,2902249,638006
3D9TjsrsG1DFpHc3uzVWcqQRWeMHMFdE12,3G2JGzK7kzFHvvD9D1qwwvEUE2taHD1iqJ,329379,81817
3MLeehZhgmfWozwufVjLzJ2QuWEp4znC8n,1HWmmrUJVKTkwUBja8ouihCktj3kjHQ1LQ,80000,33600
3BgykeaFVrTothDq5HZqd327Sq3Ew29ADw,1LpxPEubLunuuMiXzPEPzrTQHSb2HpNsuH,51280,33600
37CeLYBBUhKi2HyZJFNHSHKNJrkjq86j4V,3HAZVGbvfWqR9PRaypsgvNAQRs6E6Z4Ekc,683000,32519
1C8jvNJ44TYtNr4GCiG9xmV6CTXkRjmTfg,16KvQ8jmCwdKA3sz1foRFUHpQ6FSzZphEM,409845,43485
19KyUnKKP4Y1Fia36ZLJAkrPwcCbicoE1E,1miFvhkSN3JuQCm51x5nbqWXCCbdKJmZR,400000,41289
1MpviPeJCQU3iVLz6oTJNCjdf2hcn8PTye,16Nu3sq28333dQz3XJzJHWJLGKTrv1Ts4P,201762,39900
bc1qk925tt0esd3gur7eh3vkgk7m9gatgmx470s574,3D6CVTM8ySKhFyARjQVjVDvbVdNCxmLwoT,380785,19215
154JoVNtj1UXr9tLB9SsBVf1KEoctTEQwe,36u5Jgr2xrGwGWzqaPxRxF3VzAZL9Fvar9,1749663,32544
115E3baxJZsJHeTay1jvUh3nSTHBJhkskc,115E3baxJZsJHeTay1jvUh3nSTHBJhkskc,1415448,43683
1MumYyxGoYwUN7bKjKCzfuQJiS6TWmuG6z,1J6TYGvHhfs77mHbdtohFuDKAyWAhthmiZ,362805,32544
13CjyiknQ2NBPhVh4hy1QRvnRCAmV4t8cq,3ANJHDPsyf9Whgw5gePZTpZfrJat4uh8YN,100818,36612
13oo3t7s6SsxX8HiA4rebfDj59KPdRcNK3,1EEwn8MfYaL5Egg8PZ2L8vvRBWa9MbiuHD,446644,55487
12hhjTFvvZW8jN98ziAhu8xA2xPovnrJr5,3AN5s4VMN4QRWgb274hX3yFdANcm4eyvmN,30800,36126
1MNiMG1qveN318842dptxAzeCgSoXAxPEE,3BJ3pVUoScfF1U3RLvoQzgULARdbHcibMB,1204916,36126
1Kz89LZsAMuMmjBs2Wmunmn6Wo6QFLbsy4,3LArDWuhPqqu7YXgm813VDfuZtxwFijBYf,1246636,30345
14nC3YcDYsPYXGpiYofFv69mnLWkb9RXi9,3EcvXt1Vz2LU7dPo1myBuZYU2EVPVqzHRA,130000000,35457
3M4hef2MduNmkJa8umNpahcuf5wLibEE4i,3J4GtCFLc6XLghFENe6WBThSm3QaSYNRhz,207302,536035
bc1qpal4w2svg5lm3w5ecsru7wdy94l40aa093s36g,bc1qpal4w2svg5lm3w5ecsru7wdy94l40aa093s36g,669340,186165
18D4ycyUw3X4jo6Bk5NidJVbHjjWzbTieu,bc1q8xnhle4c4pjgwe040p80cpvx5869jz5v3qxqlj,38612,35011
19KRSCYd2kZd1KLKQ7hLeu9qjVvUqqbMjJ,3EgH9AiGTfEpG3jzw6btvHsggHmaZAiiAC,211666,34808
bc1q085dxtf0l3z556wu3acvy8tvcgljjkfhq58u73,bc1q085dxtf0l3z556wu3acvy8tvcgljjkfhq58u73,1425974,22365
bc1qerf6485445vt93efc9uzwk49w08y6mkxdjas35,bc1q4gwaq7gaafgyjjhk4yswmyd8xvr0mmmmkcxlxw,5071607,22365
bc1qwfgdjyy95aay2686fn74h6a4nu9eev6np7q4fn204dkj3274frlqrskvx0,35nVgeupurTrcHDVZgtdTYhs7osrBjmiKy,121295,34788
1B2dbGSqJEZCJTjncBWgaReigfN641y4pM,3CgJk7T2YTwCbbwChu2CHthmv7zCdkYKQn,1176049,34126
3NBgp17MQVU3cPm9wmgzzc5TsdG73ic7vk,3Lit6o1MXcW3Re1Vo9ST31J6Sb8nNqwL2n,269320,50680
352u3km3HhyzVbsE9b6uRZf8Q86c9BnJAN,352u3km3HhyzVbsE9b6uRZf8Q86c9BnJAN,890848,55757
